Frame,Predicted Label
0,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
1,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
2,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
3,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
4,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
5,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
6,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
7,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
8,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
9,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
10,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
11,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
12,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
13,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
14,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
15,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
16,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
17,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
18,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
19,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
20,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
21,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
22,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
23,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
24,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
25,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
26,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
27,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
28,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
29,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
30,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
31,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
32,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
33,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
34,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
35,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
36,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
37,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
38,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
39,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
40,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
41,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
42,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
43,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
44,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
45,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
46,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
47,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
48,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
49,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
50,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
51,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
52,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
53,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
54,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
55,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
56,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
57,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
58,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
59,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
60,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
61,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
62,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
63,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
64,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
65,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
66,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
67,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
68,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
69,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
70,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
71,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
72,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
