Label,Count
clean,98
Unknown,88
walk,81
Story,45
walk on uneven terrain,37
salsa dance,30
Jump,30
Alaskan vacation,24
basketball signals,16
"nursery rhyme - ""I'm a little teapot...""",16
run/jog,16
Motorcycle,16
nursery rhyme - Cock Robin,15
Run,14
Walk,13
run,12
"Walk With Arms Out,  balancing",12
Marching,12
Swing,11
monkey (human subject),11
chicken (human subject),10
JumpForward,10
forward jump,9
prairie dog (human subject),9
boxing,9
walk backwards and turn,9
walk sideways and turn (opposite direction),8
"navigate - walk forward, backward, on a diagonal",7
Range of Motion,7
climb 3 steps,7
carry 19.5lb suitcase,7
Run Duck Underneath,7
walk forward,7
laugh,6
"sit on high stool, stand up",6
soccer - kick ball,6
Jump Turn,6
cartwheel,6
wash windows,6
walk and turn (repeated),6
jump,6
walk sideways and turn (repeated),6
walk sideways and turn,6
Run Stop Run,6
walk forward stepping up stairs,6
Walk Fast,6
Hop on left foot,6
Bouncy Walk,6
Breast Stroke,6
Walk Slow,6
bear (human subject),6
Mickey sneaking walk,6
NormalWalk,6
Normal Walk,6
Yoga,6
Putt,5
"Pick box up, bend from waist",5
"limping, hurt right leg",5
180,5
Looking Around,5
"direct traffic, wave, point",5
"walk forward, turn around, walk back",5
chicken,5
Sneaking,5
Walk Wounded Leg,5
SlowWalk,5
Walk Jump,5
climb ladder,5
Placing Tee,5
dog (human subject),5
Placing Ball,5
15.5 lbs,5
snake (human subject),5
elephant (human subject),5
cat (human subject),5
Picking up Ball,5
"jump up to grab, reach for, tiptoe",5
mouse (human subject),5
Run Jump Over,4
"dance - fold in from side arabesque, curl inwards",4
Walking up and down stairs,4
WalkStraight,4
carry 12.5lb suitcase,4
Run Dive Over Roll Run,4
motorcycle pose,4
jump kick,4
Run Over,4
kick,4
Range of motion,4
Walking,4
pterosaur (human subject),4
Walk Right,4
Fly Stroke,4
long jump forward,4
whale (human subject),4
"walk, 90-degree left turn",4
JumpTurn,4
basketball - forward dribble,4
"Picking box up, bending knees",4
"walk, 90-degree right turn",4
walk forward 90 degree right turn,4
walk forward 90 degree left turn,4
walk/wander,4
360,4
sweep floor,4
March,4
Free Style,4
JumpSmallForward,4
"walk, veer left",4
"walk, veer right",4
slow walk,4
hop turn 90 degrees left in air,3
hummingbird (human subject),3
dragon (human subject),3
Tyrannosaurus rex (human subject),3
"follow path, walk around obstacles",3
Stretch Walk,3
hop turn left 270 degrees in air,3
hop forward,3
Walk Stop Walk,3
Walk Left,3
Walk Swinging Shoulders,3
"walk backward, turn in place",3
run jump,3
wide leg roll,3
"walk, turn in place (repeated)",3
penguin (human subject),3
walk forward 90 degree smooth right turn,3
StartRun,3
walk forward 90 degree smooth left turn,3
stiff walk,3
"balance on one leg, outstretched arms",3
Jump off ledge,3
Poking Around On The Ground,3
Get Up From Ground Laying on Back,3
"dance - lean forward, bring back leg forward, arching arms",3
"climb, step over, jump over, navigate around stepstool",3
"climb, step over, jump over stepstool",3
large sidestep to right,3
Walk Backwards,3
swordplay,3
crying,3
careful walk and search,3
Walk And Step Over,3
Shrug,3
"sit on stepstool, stand up",3
fishing,3
creeping walk,3
"dance - attitude/arabesque, jete en tourant, bending back",3
Start Walk Left,3
Start Walk Right,3
Run Right,3
Get up from floor,3
Mickey Dance,3
Run Left,3
Curtsey,3
swimming,3
19.5 lbs,3
RunStop,2
Walk Bent Forward,2
dialing phone,2
opening umbrella,2
Stretching,2
Wave,2
Empi,2
writing on a chalkboard,2
laughing,2
Walk Backwards Bent Forward,2
range of motion,2
Walk and carry,2
Mickey Surprised,2
Mickey Walk,2
mixing batter,2
driving,2
Getting up from chair,2
Walk With Stiff Arms,2
eating soup,2
monkey,2
sweeping,2
snake,2
freezing,2
RunThrough,2
"Quail, quick little steps",2
dog,2
Walk Backwards on Toes,2
Walk on Toes,2
Normal Walk Backwards,2
prairie dog,2
cat,2
mouse,2
elephant,2
Walk on Toes Bent Forward,2
"bolt loosening, wrench",2
bear,2
painting,2
"Flamingo, lift legs high",2
Walk Backwards on Toes Crouched,2
screwing,2
Walk on Toes Crouched,2
hammering a nail,2
Walk Backwards Crouched,2
Walk Crouched,2
chopping onions,2
Walk Backward on Toes Bent Forward,2
vacuuming,2
12.5lb,2
Stretch and yawn,2
putting on headphones,2
Run Quick Stop Run,2
Run Jump Stop Run,2
lifting up,2
peeping,2
stretching,2
Start Walk Stop,2
slope 2,2
slope 3,2
"laying down, getting up, careful ready pose",2
careful creeping,2
Start Hop Stop,2
Start Duck Underneath Stop,2
careful run,2
Jump Stop,2
SpasticStop,2
2 jump,2
hopscotch,2
Dance,2
Walk Crawl,2
medium sit,2
Walk Leaning To The Right,2
Walk With Wild Legs,2
Walk backwards,2
shaking hands,2
carry 5.5lb suitcase,2
"walk up to object, lean over, pick up object, set down in another place",2
Ring around the rosie,2
sewing,2
chopping wood,2
Bow,2
12.5 lbs,2
Baseball Pitch,2
turn in place,2
turn in place (opposite direction),2
Stepping over,2
DefensiveMoveSideToSide           CleanedGRS,2
Walk sideways,2
Pick up,2
Push Turn Left,2
Peekaboo,2
Back Stroke,2
Mope,2
calibration,2
Stop and Go,2
get up from chair,2
Start,2
Push Turn Right,2
shooting a gun,2
"walk up to object, squat, pick up object, set down in another place",2
SternWalk,2
fish,2
soldiers march (2 subjects - subject A),2
hop turn left 180 degrees in air,2
Washing Window,2
FurtherJumpTurn,2
soldiers march (2 subjects - subject B),2
synchronized walk (2 subjects - subject B),2
"link arms, walk (2 subjects - subject B)",2
SmallJumpTurn,2
hop and turn right 360 degrees in air,2
"jumping jacks, jog, squats, side twists, stretches",2
Scared,2
JumpTwist,2
mop floor,2
synchronized walk (2 subjects - subject A),2
"link arms, walk (2 subjects - subject A)",2
chicken dance (2 subjects - subject B),2
"run, scramble for last seat (2 subjects - subject B)",2
drink soda,2
medium sidestep to right,2
medium step forward,2
"unscrew bottlecap, drink soda",2
"wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing",2
GhettoWalk,2
backflip,2
SexyWalk,2
ScaredWalk,2
OffensiveMoveSpinLeft,2
MachoWalk,2
TrafficWalk,2
Forward,2
walk forward turn 90 degrees left walk forward,2
walk forward turn 90 degrees right walk forward,2
Random Walk,2
medium hop forward,2
SmallForward,2
Clumsy,2
UpRightSequence,2
quarrel - angry hand gestures (2 subjects - subject B),2
Singing in the rain jump,2
xtra fancY charleston,2
"walk with anger, frustration",2
