motion_id,short_label,long_label
,,
01_01,climb,"playground - forward jumps, turn around"
01_02,climb,playground - climb
01_03,climb,"playground - climb, hang, swing"
01_04,climb,playground - climb
01_05,climb,"playground - climb, go under"
01_06,climb,"playground - climb, sit, dangle legs, descend"
01_07,climb,"playground - climb, sit, dangle legs, jump down"
01_08,climb,"playground - climb, sit, dangle legs, rock back, lower self to ground"
01_09,climb,"playground - climb, hang, hold self up with arms straight, swing, drop, sit, dangle legs, go under"
01_10,climb,"playground - climb, swing, lean back, drop"
01_11,climb,"playground - climb, hang, lean over, jump down"
01_12,climb,"playground - climb, pull up, dangle, sit, lower self to ground"
01_13,climb,"playground - climb, go under, jump down"
01_14,climb,"playground - climb, jump down, dangle, legs push off against"
,,
02_01,various expressions and human behaviors,walk
02_02,various expressions and human behaviors,walk
02_03,various expressions and human behaviors,run/jog
02_04,various expressions and human behaviors,"jump, balance"
02_05,various expressions and human behaviors,punch/strike
02_06,various expressions and human behaviors,"bend over, scoop up, rise, lift arm"
02_07,various expressions and human behaviors,swordplay
02_08,various expressions and human behaviors,swordplay
02_09,various expressions and human behaviors,swordplay
02_10,various expressions and human behaviors,wash self
,,
03_01,walk on uneven terrain,walk on uneven terrain
03_02,walk on uneven terrain,walk on uneven terrain
03_03,walk on uneven terrain,walk on uneven terrain
03_04,walk on uneven terrain,walk on uneven terrain
,,
05_01,modern dance,walk
05_02,modern dance,"dance - expressive arms, pirouette"
05_03,modern dance,"dance - sideways arabesque, turn step, folding arms"
05_04,modern dance,"dance - sideways arabesque, folding arms, bending back"
05_05,modern dance,"dance - quasi-cou-de-pied, raised leg above hip-height, jete en tourant"
05_06,modern dance,"dance - cartwheel-like start, pirouettes, jete"
05_07,modern dance,"dance - small jetes, attitude/arabesque, shifted-axis pirouette, turn"
05_08,modern dance,"dance - rond de jambe in the air, jete, turn"
05_09,modern dance,"dance - glissade devant, glissade derriere, attitude/arabesque"
05_10,modern dance,"dance - glissade devant, glissade derriere, attitude/arabesque"
05_11,modern dance,"dance - sideways steps, pirouette"
05_12,modern dance,"dance - arms held high, pointe tendue a terre, upper body rotation"
05_13,modern dance,"dance - small jetes, pirouette"
05_14,modern dance,"dance - retire derriere, attitude/arabesque"
05_15,modern dance,"dance - retire derriere, attitude/arabesque"
05_16,modern dance,"dance - coupe dessous, jete en tourant"
05_17,modern dance,"dance - coupe dessous, grand jete en tourant"
05_18,modern dance,"dance - attitude/arabesque, jete en tourant, bending back"
